datetime,portfolio_value,cash,return
2024-01-02 09:30:00-05:00,100000.0,100000.0,
2024-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-09 09:30:00-05:00,99631.91973876953,150122.0092163086,-0.0036808026123046345
2024-01-10 09:30:00-05:00,99386.88882446289,150122.0092163086,-0.00245936156754889
2024-01-11 09:30:00-05:00,99019.8796081543,150122.0092163086,-0.00369273272007542
2024-01-12 09:30:00-05:00,98993.1296081543,150122.0092163086,-0.00027014777341538565
2024-01-13 09:30:00-05:00,98993.1296081543,150122.0092163086,0.0
