2024-01-30 14:17:21,949: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-01-30 14:17:23,464: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-01-30 14:17:23,465: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-01-30 14:17:23,466: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-01-30 14:17:23,466: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-01-30 14:17:23,468: root: INFO: MLTrader : Executing the on_trading_iteration lifecycle method at 2024-01-30 14:17:23
2024-01-30 14:17:23,468: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-30 14:17:23,475: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-30 14:17:24,138: root: INFO: New market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.
2024-01-30 14:17:24,148: root: INFO: MLTrader : Trading iteration ended at 2024-01-30 14:17:24
2024-01-30 14:17:24,148: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-30 14:17:24,148: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-30 14:17:24,151: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-30 14:17:24,153: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-30 14:17:24,153: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-30 14:17:24,153: root: INFO: Filled Transaction: buy 106.0 of SPY at 469.48999023 USD per share
2024-01-30 14:17:24,154: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-01-30 14:17:24,168: root: INFO: MLTrader : Sleeping for 86400 seconds
2024-01-30 14:17:24,171: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-01-30 14:17:24,172: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
