datetime,portfolio_value,cash,return
2024-01-02 09:30:00-05:00,100000.0,100000.0,
2024-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-09 09:30:00-05:00,99631.91973876953,150122.0092163086,-0.0036808026123046345
2024-01-10 09:30:00-05:00,99386.88882446289,150122.0092163086,-0.00245936156754889
2024-01-11 09:30:00-05:00,99019.8796081543,150122.0092163086,-0.00369273272007542
2024-01-12 09:30:00-05:00,98993.1296081543,150122.0092163086,-0.00027014777341538565
2024-01-13 09:30:00-05:00,98993.1296081543,150122.0092163086,0.0
2024-01-16 09:30:00-05:00,99269.18817138672,150122.0092163086,0.0027886638630898464
2024-01-17 09:30:00-05:00,99637.26843261719,150122.0092163086,0.003707900386925589
2024-01-18 09:30:00-05:00,99054.72778320312,225141.39038085938,-0.00584661400877351
2024-01-19 09:30:00-05:00,98086.49200439453,225141.39038085938,-0.009774755839294547
2024-01-20 09:30:00-05:00,98086.49200439453,225141.39038085938,0.0
2024-01-22 09:30:00-05:00,96394.72778320312,225141.39038085938,-0.01724767790773485
2024-01-23 09:30:00-05:00,96394.72778320312,225141.39038085938,0.0
2024-01-24 09:30:00-05:00,95383.93103027344,225141.39038085938,-0.01048601698635454
2024-01-25 09:30:00-05:00,95445.11395263672,225141.39038085938,0.0006414384656034944
2024-01-26 09:30:00-05:00,95442.45135498047,225141.39038085938,-2.7896636569324507e-05
2024-01-27 09:30:00-05:00,95442.45135498047,225141.39038085938,0.0
2024-01-29 09:30:00-05:00,95405.2074584961,225141.39038085938,-0.00039022359501073023
2024-01-30 09:30:00-05:00,94652.43103027344,225141.39038085938,-0.007890307544796582
2024-01-31 09:30:00-05:00,95168.4716796875,225141.39038085938,0.005451953465928527
2024-02-01 09:30:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 09:30:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:12:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:12:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:49:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:49:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:25:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:25:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:01:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:01:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:38:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:38:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:14:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:14:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:51:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:51:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:27:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:27:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:03:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:03:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:40:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:40:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:16:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:16:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:53:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:53:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:29:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:29:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:05:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:05:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:42:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:42:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:18:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:18:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:55:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:55:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:31:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:31:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:07:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:07:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:44:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:44:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:20:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:20:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:57:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:57:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-01 15:33:00-05:00,95168.4716796875,225141.39038085938,0.0
2024-02-02 15:33:00-05:00,95168.4716796875,225141.39038085938,0.0
